"Property Type","Status","Property Style","List Price","List Date","City Name","Zip Code","Year Built","Heated (Living) Area","Bedrooms","Bathrooms","Pool","Waterfront (Y/N)","Sale Price","Sale Date"
"RES","SOLD","SINGLE FAMILY RESIDENCE","420000","10/9/21","ORLANDO","32812","1940","1936","5","3","t","f","420000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","300000","12/2/21","ORLANDO","32811","1967","1688","3","1.5","t","f","300000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","409000","2/14/22","ORLANDO","32821","1987","1873","3","2","t","f","409000","4/1/22"
"RES","SOLD","CONDO - HOTEL","162000","2/18/22","ORLANDO","32822","1987","876","2","2","t","f","162000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","220000","2/21/22","ORLANDO","32839","1958","1236","3","1.5","t","f","220000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","565000","3/1/22","ORLANDO","32824","2006","3904","5","4","t","f","565000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","498000","2/18/22","ORLANDO","32824","2007","2861","4","2.5","t","f","498000","4/1/22"
"RES","SOLD","TOWNHOUSE","350000","2/25/22","ORLANDO","32824","2018","1703","3","2.5","t","f","350000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","350000","3/3/22","ORLANDO","32824","1990","1341","3","2","t","f","350000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","350000","3/15/22","ORLANDO","32826","1978","1395","4","2","t","f","350000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","279000","9/17/21","ORLANDO","32812","1983","1834","3","2","t","f","279000","4/1/22"
"RES","SOLD","CONDOMINIUM","135000","3/7/22","ORLANDO","32835","1989","627","1","1","t","f","135000","4/1/22"
